,time_ms,delta_ms,ACCx,ACCy,ACCz,GRYOx,GRYOy,GRYOz,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading,,time_ms,,
28,3.001507,111,-55.44497043,-3009.144032,-7270.603829,25.43776109,-18.92166031,-8.78720871,-157.2874912,179.1197292,-157.9474269,179.1769685,146.6551665,158.8210074,,3001.507,,
29,3.112215,110,-38.06698226,-3412.686419,-7067.562298,27.90552695,-19.18550949,-9.12866059,-154.4632973,179.3571919,-155.2739822,179.4221991,147.6350567,162.3837944,,3112.215,,
30,3.223177,110,-5.640189355,-3780.811852,-6902.937379,29.42677311,-19.55029811,-9.20627519,-151.950829,179.5688729,-152.9125455,179.6329733,148.9992838,166.2954397,,3223.177,,
31,3.334083,110,1.815886387,-4297.687111,-6788.162427,29.31800095,-19.80668963,-9.14411967,-149.4207339,-36.26581073,-150.6852027,-0.288793233,150.5514735,170.848807,,3334.083,,
32,3.445159,111,1.815886387,-4720.212267,-6464.497456,28.03314269,-19.99245227,-9.14411967,-146.6006543,-122.5709722,-148.1762611,-95.19704434,152.0530382,175.3769636,,3445.159,,
33,3.555648,110,1.815886387,-5059.32736,-6159.498474,26.71243309,-20.14782987,-8.96543543,-143.5290186,-157.0804046,-145.1826981,-145.1112564,153.3777114,179.1468435,,3555.648,,
34,3.666828,111,1.815886387,-5343.996416,-5872.099084,24.24070306,-20.42677119,-9.00417728,-141.0177466,-170.933107,-142.6800472,-171.0875368,154.5130276,182.2801212,,3666.828,,
35,3.777411,110,1.815886387,-5378.941161,-5825.936665,21.46481386,-20.52007839,-8.98085048,-139.8881464,-176.3998501,-141.2296574,-184.2633165,154.6074964,182.5526588,,3777.411,,
36,3.888668,111,4.893719099,-5378.941161,-5825.936665,18.5360623,-20.55881849,-9.30626732,-139.4974513,-178.546559,-140.4716006,-190.6582231,154.6074964,182.5242347,,3888.668,,
37,3.999256,110,4.893719099,-5378.941161,-5825.936665,15.36801574,-20.63646669,-9.1820302,-139.4368912,-179.4208057,-140.1196131,-193.5825281,154.6074964,182.5242347,,3999.256,,
38,4.110315,111,-1.316104403,-5378.941161,-5825.936665,12.13379293,-20.71402599,-9.24407764,-139.4391377,36.19288842,-139.89674,-14.63246541,154.6074964,182.4927189,,4110.315,,
39,4.221091,110,-1.316104403,-5378.941161,-5825.936665,11.28010933,-20.76835131,-9.28288144,-138.4878206,122.4476597,-138.5203671,80.39533959,154.6074964,182.4927189,,4221.091,,
40,4.332068,110,-2.860174005,-5116.564697,-6055.561999,9.77779467,-21.65115477,-9.28288144,-139.8786447,156.6097057,-139.3826442,130.2885432,153.4765167,179.4573762,,4332.068,,
41,4.4426,110,-2.860174005,-4869.138818,-6226.137199,7.13916007,-21.86845409,-9.18199247,-142.1906417,170.5411706,-141.4773044,157.0016053,152.3374073,176.8057678,,4442.6,,
42,4.553772,111,-3.189662642,-4565.883291,-6439.68232,3.84137257,-22.70648009,-9.64756247,-144.9928603,175.8642307,-144.2132635,170.6997459,151.2829228,173.7700966,,4553.772,,
43,4.664589,110,-5.271299524,-4235.129975,-6680.209392,0.60325769,-23.23578733,-10.09124648,-147.8680231,178.1068429,-147.044987,177.9679879,150.1685199,170.5695983,,4664.589,,
44,4.775717,111,-5.632967131,-3989.877985,-6835.325635,-3.15173439,-23.36822481,-9.96659944,-150.4855721,179.1614323,-149.7854158,181.85377,149.1923552,167.7504992,,4775.717,,
45,4.887148,111,-14.11883254,-3665.526791,-7018.795381,-7.63727055,-23.67035937,-9.85814088,-153.4431058,179.4745668,-152.8704418,183.6088342,148.3801237,164.6024158,,4887.148,,
46,4.997664,110,-22.10786817,-3366.116074,-7212.877229,-11.71795751,-23.89534021,-10.04433192,-155.9989642,179.5944663,-155.4760715,184.3920439,147.608391,161.7265372,,4997.664,,
47,5.108624,110,-22.8647209,-3054.869645,-7296.526337,-15.78899735,-24.34595149,-10.52601984,-158.3973114,179.5498161,-157.9088385,184.5403704,146.7908547,159.0985085,,5108.624,,
48,5.219625,111,-28.36277971,-2640.921787,-7438.315802,-16.19252775,-24.57099729,-10.77434624,-159.7921081,179.5988257,-158.8607066,184.5706399,145.8216477,155.798788,,5219.625,,
49,5.330542,110,-53.41766783,-2206.953072,-7558.589481,-16.32447733,-24.73399383,-10.89077234,-162.2035911,179.5313855,-160.8820635,184.3870814,144.6582735,152.3285298,,5330.542,,
50,5.44146,110,-72.4506007,-1728.171843,-7659.953689,-16.27001089,-24.93629775,-10.9919243,-165.231422,179.4064883,-163.6639555,184.0728611,143.6081677,149.1058322,,5441.46,,
