,,delta_ms,ACCx,ACCy,ACCz,gyro__x,gyro__y,gyro__z,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading,,time_ms,
29,3.106247,110,-92.47483559,-4678.341766,-5879.585686,-3.75231101,-1.99979808,3.24198035,-139.4524841,121.8936513,-139.7711133,82.69069054,152.8503305,176.617051,,3106.247,
30,3.217036,110,-103.1265645,-3633.00506,-6518.951412,-4.44973991,-1.99204887,2.88551669,-146.5814381,156.2167716,-145.30581,131.080116,149.2532061,165.8083189,,3217.036,
31,3.328145,111,-103.1265645,-2621.803036,-7092.570847,-4.73786187,-2.23344835,2.69862677,-154.5755791,169.8903333,-152.3990614,156.5034163,146.0519122,156.1740516,,3328.145,
32,3.439165,111,-103.1265645,-1945.081821,-7411.942508,-4.78441635,-2.59812511,2.70638585,-161.0262719,175.3319807,-158.7794206,169.7653029,144.0964504,150.7185426,,3439.165,
33,3.549931,110,-100.8673379,-1570.649093,-7580.365505,-4.87747407,-2.91607232,2.36517421,-165.4241197,177.5482007,-163.650842,176.702546,143.0488612,148.0195384,,3549.931,
34,3.660752,110,-100.8673379,-1293.589456,-7687.019303,-4.09469074,-3.10983057,1.48163659,-168.1251153,178.4907099,-166.8374679,180.3242481,142.1608119,146.0457892,,3660.752,
35,3.771493,110,-94.52040276,-1260.139596,-7748.611582,12.13054262,-3.00135241,-0.43997653,-163.2177418,179.0203475,-160.8979787,182.3033977,142.2224577,145.933046,,3771.493,
36,3.882232,110,-91.91224165,-1260.139596,-7748.611582,28.39088182,-3.73764041,-0.78874453,-161.2407501,178.9058658,-158.1174367,182.8152206,142.2224577,145.9305231,,3882.232,
37,3.992994,110,-91.07593869,-1260.139596,-7748.611582,40.92248629,-2.55190418,-0.25400074,-161.9414473,179.6325926,-158.8927339,183.9617005,142.2224577,145.9297133,,3992.994,
38,4.103745,110,-86.40462652,-1260.139596,-7748.611582,49.73190229,-2.76922898,-0.62655754,-163.7106016,179.382781,-161.445004,183.7408786,142.2224577,145.8926588,,4103.745,
39,4.214701,110,-83.3410442,-1260.139596,-7748.611582,50.48389479,-2.98629898,-0.77385504,-167.6412327,179.2965485,-167.0052013,183.5338548,142.2224577,145.8787421,,4214.701,
40,4.325442,110,-75.94734499,-2352.083758,-7313.022277,44.33461333,-3.2350689,-0.63392196,-166.8186127,179.2621071,-169.093985,183.3262329,145.2015798,153.6191021,,4325.442,
41,4.436533,111,-53.04277591,-3712.850255,-6544.213366,33.01299547,-4.43090508,-0.77369502,-161.5150839,178.9478754,-166.7323208,182.7124813,149.2395511,166.1775553,,4436.533,
42,4.547541,111,-53.04277591,-4840.510153,-5658.12802,12.00347687,-5.09109328,-0.30767982,-156.6817133,178.9928092,-164.5441884,182.5583778,153.8107039,178.70533,,4547.541,
43,4.658623,111,-53.04277591,-4840.510153,-5658.12802,-4.50604189,-3.97338256,-0.91310646,-152.9483651,179.7219423,-160.5588051,183.2956932,153.8107039,178.70533,,4658.623,
44,4.769429,110,-81.93674376,-4840.510153,-5658.12802,-5.75464519,-3.67092586,-0.68820276,-145.3506597,179.5119663,-150.36374,183.0136192,153.8107039,178.5637293,,4769.429,
45,4.880236,110,-81.93674376,-4840.510153,-5658.12802,-5.86312041,-4.03509267,-0.85091559,-141.8555262,179.1613265,-144.3962664,182.4390198,153.8107039,178.5637293,,4880.236,
46,4.990959,110,-81.93674376,-4840.510153,-5658.12802,-5.76222143,-4.33778961,-0.87419997,-140.3737232,179.0456585,-141.166182,182.0991287,153.8107039,178.5637293,,4990.959,
47,5.101916,110,-118.5307612,-3985.788149,-6393.140835,-6.37490672,-4.61698797,-1.09135425,-145.2297383,178.8692889,-144.1459924,181.7481659,150.2781366,168.2678119,,5101.916,
48,5.212712,110,-118.5307612,-2624.27289,-7167.084501,-8.36771299,-4.8728736,-1.23092823,-154.822706,178.8768717,-152.3291268,181.5678998,146.6682786,156.323974,,5212.712,
49,5.323498,110,-146.884602,-1830.963734,-7448.250701,-8.78624593,-5.07438946,-1.91298191,-161.8099766,178.7922835,-158.9804911,181.3480321,144.5610664,150.483121,,5323.498,
50,5.434265,110,-146.884602,-1366.57824,-7626.15042,-9.03428561,-5.17515558,-1.78896207,-166.7275876,178.8145569,-164.2403838,181.2365453,143.4551935,147.5568243,,5434.265,
51,5.545024,110,-146.884602,-1057.546944,-7734.454151,-9.06532417,-5.3536273,-1.82776027,-170.0319221,178.8016524,-168.1013982,181.0882732,142.6517679,145.6918324,,5545.024,
52,5.655973,110,-135.4426444,-837.7281665,-7740.090252,-8.74734252,-5.71814285,-2.01389587,-172.1792502,178.7733506,-170.7732311,180.9051314,142.2456568,144.592332,,5655.973,
53,5.766786,110,-122.759352,-600.2368999,-7771.872491,-8.52254641,-5.93518737,-2.11466654,-174.1320036,178.8795643,-173.1183258,180.8848495,141.7150759,143.3559807,,5766.786,
