,time_ms,delta_ms,accel__x,accel__y,gyro__x,gyro__y,gyro__z,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading
0,0.0,0,45.00000038242425,-44.999998087878765,0.7663964,-0.8012326000000001,-0.20901720000000001,27.306558789454545,-27.320491892727258,30.209318795063602,-30.220965677465355,45.0,32.154547781250486
1,11.289,11,45.00000038242425,-44.999998087878765,0.6809210099999999,-1.1664456300000001,-0.5742302300000001,37.888433589236364,-38.074280821818164,37.94852406042178,-38.1676753162594,45.0,32.154547781250486
2,122.104,110,45.00000038242425,-44.999998087878765,0.3506878899999999,-1.4045206700000001,-0.61262943,42.023280417149095,-42.32494119745452,41.25386286622023,-41.653981609346516,45.0,32.154547781250486
3,231.55800000000002,109,45.00000038242425,-44.999998087878765,0.87080833,-1.44276482,-0.58968294,44.01736057231419,-43.94527299170907,43.34449082546759,-43.30125243773372,45.0,32.154547781250486
4,340.831,109,-175.1073168252503,-177.6692265462118,4.066644050000001,-0.2577061199999999,4.9227514,-86.17911157822451,-123.70562164441071,-59.98276290740036,-107.29073113395708,142.94492178603014,144.23580516634436
5,450.031,109,-174.95707133727484,-177.77589652309717,5.74225904,-0.20414764999999993,3.95104773,-138.7756414376547,-156.12636318362257,-114.77487677286776,-141.4142960160745,142.86481716151,144.22776606463955
6,559.407,109,-174.9694887384002,-177.80087938650166,5.87241529,-0.35727264999999997,2.55761023,-160.439887318102,-169.19232290535,-144.3345957283697,-159.43371066384378,142.7682616864801,144.13006117222315
7,668.822,109,-174.9699171704966,-177.91178638684394,6.62163705,-0.87714081,1.7854531099999997,-168.85821652553875,-174.63194825824635,-159.51947602386417,-169.12742825765764,142.7301450447638,144.11049284452417
8,778.0160000000001,109,-174.47905402490622,-177.95947960846303,8.05328545,0.8098827100000001,3.17840831,-171.65805966515921,-175.95365766037636,-166.93411687898472,-173.11012851275999,142.50062403675386,144.10653187792948
9,888.9019999999999,110,-173.2831025272422,-177.85868632023613,17.487737190000004,2.56188443,5.2017377300000005,-168.85930468640902,-176.3958741682922,-166.12236221702264,-175.125179318495,142.5798512351,144.7234629610209
10,999.715,110,-173.24456978017744,-177.115696188806,20.754398280000004,3.9507973400000003,5.977666730000001,-170.18379930667007,-176.27220221660048,-168.92639830670686,-176.013630885097,142.5798512351,144.62138969544512
11,1110.585,110,-172.91699394623936,-176.9475581824276,29.478165780000005,3.8810072000000004,5.597698190000001,-168.33420909041163,-176.70533185209675,-167.44506311897135,-177.14792968959503,142.5798512351,144.7770716105876
