,time_ms,delta_ms,accel__x,accel__y,gyro__x,gyro__y,gyro__z,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading
0,0.0,0,-175.90129545032988,-174.0702760876329,10.826487629999997,-1.6527501200000012,5.93969565,-165.7595169954784,-173.23464052699035,-172.7521894181596,-173.7447149883419,137.93978523928018,137.67428221993916
1,11.114,11,-175.92096014201508,-174.19695434235894,10.624658729999997,-1.0627887200000012,4.845162,-171.9371144434004,-173.5760442562115,-177.73839513948502,-173.78902853756148,137.89053596935986,137.64989206863225
2,121.89,110,-175.93428601378514,-174.29186071345123,9.651088159999997,-2.197343400000001,4.85282791,-174.72484561363123,-174.45935600255535,-180.55045310618362,-174.6625634588039,137.84060542400044,137.62143189737745
3,231.246,109,-175.955012773229,-174.44893001103762,8.022528499999996,-1.195740980000001,3.7594756499999997,-176.11436977338988,-174.0524594396447,-182.17558456486285,-174.11663197801047,137.75011323198672,137.56658355394478
4,340.48400000000004,109,-175.955012773229,-174.62179296560043,12.096220849999998,-1.692532730000001,4.69191555,-174.38927863329334,-174.59277625521815,-179.9691068247011,-174.68552344094414,137.6004691451643,137.4637926704002
5,449.653,109,-176.31385151791937,-174.8847942532878,13.831027489999999,-1.845379130000001,4.6995578700000005,-174.85009970806897,-174.82912561405993,-180.08772464939682,-174.92756210825434,137.19558780944166,136.96726647085487
6,558.8689999999999,109,-176.65775323249926,-174.92340747513126,12.28751923,-2.4872340500000014,4.3251425,-176.55209512672712,-175.14243669870274,-181.8374296886308,-175.31041098671744,136.90555936747742,136.53099398315956
7,668.0310000000001,109,-177.04950697919233,-174.92340747513126,16.87815556,-2.9913638300000014,5.21882711,-175.01428770620623,-175.21267107655984,-179.6831106199737,-175.42132602630872,136.84293652513554,136.30931521626314
8,777.153,109,-177.01459252492984,-174.86354583472115,16.95537606,-1.9334429800000013,5.5663193600000005,-176.18358239744038,-174.58002759145663,-180.78672388780916,-174.65081034439947,136.738428034757,136.19246332749162
9,887.816,110,-177.01459252492984,-174.8244822134629,17.723178479999998,-2.3987777800000014,6.535766860000001,-176.37506750593406,-174.9128342846604,-180.88665516694047,-175.01384787938588,136.70195129922053,136.14058711139543
10,998.699,110,-177.01459252492984,-174.49801887485785,19.25886648,-2.4298017800000014,6.031626860000001,-176.14450731733154,-174.67635463877886,-180.43961653343126,-174.8092915726296,136.67613210783324,136.00264731034423
11,1109.5159999999998,110,-177.01459252492984,-174.49801887485785,19.63112424,-2.4375571500000013,5.387931150000001,-176.51765533789052,-174.57245532842626,-180.69931386927246,-174.68652545177798,136.66124117910863,135.98630302907551
