,time_ms,delta_ms,accel__x,accel__y,accel__z,gyro__x,gyro__y,gyro__z,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading
0,0.0,0,47.3115804106113,-773.7794353279775,-7821.531716556669,-6.930223089999994,-9.027157440000002,2.8547664599999996,-171.17655127563037,-178.57919479425632,-170.28649138300136,-178.89263224205342,141.97272082296686,144.0619914561738
1,11.325,11,45.18694824636678,-570.6676611967864,-7858.919029934002,-6.225841229999994,-9.181966640000002,2.6922167999999997,-173.6969563604111,-179.29594090800765,-173.11375144175742,-179.66757662457962,141.4428960256661,142.8695215281984
2,121.806,110,44.85263401768549,-570.6676611967864,-7858.919029934002,-6.6195265499999945,-9.413546240000002,3.2557271599999997,-175.1443452663234,-179.614809864694,-175.13269406028206,-180.09729325779784,141.48149931569063,142.89664263654444
3,231.98499999999999,110,15.912168947820069,-570.6676611967864,-7860.25085077624,-5.822908069999994,-9.459951200000003,3.21705636,-175.24760005487803,-179.79489235721837,-175.56706373198892,-180.31687794701915,141.59783322990612,143.057250335925
4,342.75600000000003,110,-22.85269863130796,-570.6676611967864,-7860.950510465745,-5.644722929999994,-9.428962480000003,3.8600723,-175.53649628457455,35.9944999824358,-176.10538806674256,-2.0728383216365955,141.6938541984302,143.21187159662455
5,453.398,110,-22.85269863130796,-570.6676611967864,-7864.570306279446,-2.690033149999994,-8.717361800000003,8.83354227,-174.54259556054024,122.5825477005912,-174.97099818338287,92.26975095996328,141.6938541984302,143.21113213935436
6,563.896,110,-41.71161917878477,-607.1725573346621,-7865.7514179604,-1.804516489999994,-9.532969250000003,6.021638490000001,-174.81442120488714,156.5244765681828,-175.33420590273877,141.0863355400282,141.6938541984302,143.34006927616667
7,675.034,111,-44.36363330440537,-628.3035344007972,-7864.570306279446,-2.060143399999994,-9.602685680000002,6.509653500000001,-175.28741180575219,170.38798505657374,-176.02005378991998,166.9158705137217,141.7233383065616,143.43617890902175
8,785.627,110,-49.90570974261751,-630.9821206404783,-7864.570306279446,-2.464230719999994,-9.633769320000003,6.57182078,-175.52435819300618,175.92461701441147,-176.4173940542374,180.24535499810736,141.73790093663095,143.468259848312
9,896.849,111,-52.626971507270866,-753.789272384287,-7864.570306279446,-2.285913559999994,-10.036921160000002,6.5175503400000006,-174.85350167850416,177.97854789271292,-175.85823851659393,186.7243627423759,141.66166866327578,143.74432163083233
10,1007.477,110,-57.01817998264322,-774.5480938206022,-7857.542183767668,-1.9440828399999939,-10.207836520000003,6.31555946,-174.42686261180785,178.8735980814662,-175.38587750894087,189.92088106830704,141.52509929803185,143.67996097949026
11,1118.588,111,-57.17618290436252,-788.9134897010036,-7852.542956955187,5.245040360000007,-9.533856220000002,5.43241286,-171.45288061107675,179.56872593297658,-171.6258873444324,191.6856126645532,141.55372097864316,143.75482350960075
12,1229.234,110,-57.01817998264322,-807.522482835006,-7851.571594925312,6.752969510000007,-9.417861670000002,5.764930570000001,-172.45469798589386,179.6242435742955,-172.58806496984653,191.98942011714587,141.5972970611721,143.8576699973194
13,1339.705,110,-57.01817998264322,-827.2041380583432,-7843.032208125865,14.299012630000007,-9.154176710000002,6.478431050000001,-170.35102866109685,179.70525499422905,-170.00361338397082,191.9176416094586,141.6160254856682,143.95576917891705
14,1450.609,110,-57.01817998264322,-882.6735634305721,-7836.619324875519,24.412103800000008,-9.410302580000002,5.197801700000001,-168.2393385191579,179.52953072476964,-167.31600722117088,191.31000412223753,141.67292836755857,144.1837120119293
15,1561.518,110,-44.36363330440537,-953.9288562923614,-7835.053680209774,34.87709960000001,-8.890158130000001,4.623313800000001,-166.94473183728135,179.8252205432192,-165.69340544183635,191.14248683747235,142.05478994051015,144.78820699157004
16,1672.3980000000001,110,-21.49515612575056,-1266.357313775417,-7825.925774173113,44.44447896000001,-9.814280000000002,4.2505587600000005,-165.43593335471363,179.46601695448678,-164.39840453751395,190.12354933815553,142.74327000182788,146.52984743226435
17,1783.4589999999998,111,28.4217437947298,-1643.8143882652503,-7784.355464503868,52.816615040000016,-10.715177760000001,3.4428573200000003,-163.67117222317478,-36.44843559536611,-163.15262220310342,10.165747327267752,143.6218725154053,148.81411496979766
18,1894.414,110,42.731096659661624,-2403.0886329591503,-7453.413278702321,55.14761504000002,-11.041517760000001,3.4817073200000004,-161.81402484189306,-122.51282278579852,-162.72279797964714,-84.69712368851943,145.69397240923823,154.63757879370712
19,2005.5049999999999,111,44.702906324549666,-3377.8531797754904,-7062.047967221392,49.24784732000002,-10.994879280000001,4.018049840000001,-159.7481442920257,-156.76886610277126,-162.78321125135332,-134.54802645171648,148.52828581982422,163.30237870870758
