,time_ms,delta_ms,accel__x,accel__y,accel__z,gyro__x,gyro__y,gyro__z,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading
0,0.0,0,1.0,1.0,1.0,-0.2722125,-2.4499125,-1.6332750000000003,26.891115229454545,-27.97996385272726,32.39813179998187,-33.15585457002803,45.0,32.154547781250486
1,11.395000000000001,11,1.0,1.0,1.0,-0.06970291999999997,-2.55116729,-1.6955856400000002,37.83745015323636,-38.232486309818164,39.277355706784924,-39.58033247114623,45.0,32.154547781250486
2,122.50999999999999,111,1.0,1.0,1.0,0.12244358000000005,-2.68182691,-1.21137646,42.21183889074909,-42.345257224654524,42.21445324369398,-42.336019679785146,45.0,32.154547781250486
3,232.045,109,1.0,1.0,1.0,0.3902555300000001,-2.7124339899999996,-0.62984194,43.99186056575418,-43.95034457458907,43.714091060864945,-43.65375734533201,45.0,32.154547781250486
4,341.387,109,64.4,-34.4,-3149.6000000000004,-6.826473430000002,-5.15878279,2.0840762600000002,-92.914491748076,-125.85585733125903,-67.40282605010357,-110.01144525654564,141.61487866835094,141.52348328200756
5,450.586,109,64.4,-34.4,-5016.960000000001,-8.302535500000001,-5.8165099300000005,2.7265074200000003,-145.52050871269236,-158.16417261543427,-122.6384073442571,-143.99891716460087,141.4702926277354,141.41089664128762
6,559.875,109,75.0694144,-34.4,-6162.576000000001,-7.894880700000001,-5.885734330000001,3.0341714200000003,-165.85324665614024,-170.874609961239,-150.7161258259327,-161.56913723183197,141.43573653370086,141.36050823998158
7,669.865,109,75.0694144,-34.4,-6843.5456,-7.749425250000001,-5.8091788300000005,3.13369357,-174.1103159011206,-175.94213712971532,-165.57951345510443,-170.73114265005424,141.40057150500243,141.332922067746
8,779.196,109,77.984989184,-34.4,-6933.727360000001,-6.129767210000001,-5.801429270000001,3.3196830100000003,-176.82571002470442,-177.98712075799256,-172.6471433842193,-175.5822589844371,141.3543912174663,141.28083785936096
9,890.265,111,77.984989184,-64.144,-7409.036416000001,-5.30815061,-5.685162770000001,3.64522921,-178.10402155416665,-178.78650910849444,-176.66005361631088,-178.07912021912063,140.8671528391998,140.87146441319314
10,1000.972,110,77.984989184,-64.144,-7660.6218496,-4.22480961,-5.2595645200000005,4.24106676,-178.52043008718596,-178.9944139824314,-178.62136986586168,-179.2244904882686,141.309485198256,141.31593832101981
11,1111.526,110,77.984989184,-75.28640000000001,-7779.57310976,4.790877840000001,-4.9800083200000005,3.96151056,-175.469222261737,-179.14134319620163,-175.53648068069137,-179.89595411280692,141.57847331713896,141.61269289157295
12,1222.748,111,77.984989184,-79.57184000000001,-7779.57310976,9.277163560000002,-4.6540152400000006,3.74418184,-176.04156459685842,-179.18154012970973,-176.30557557672503,-180.2104251026018,141.57847331713896,141.62302727732649
13,1333.463,110,77.984989184,-107.63390627840003,-7821.6863195136,19.268884320000005,-2.2720880000000006,2.63055352,-173.94690137541147,-178.3771004944103,-173.8115080203823,-179.30848440860473,141.57847331713896,141.6915928174538
14,1443.925,110,142.95459610624,-230.18034376704003,-7821.6863195136,27.230623070000004,-1.6429164500000004,1.9392415699999999,-173.38268121701395,-178.47093447500905,-173.21476241665607,-179.51567582092306,141.7505019050715,142.05766029688797
15,1555.083,111,203.37275766374398,-583.3082062602241,-7821.6863195136,33.118929060000006,-1.3566256200000004,2.38802179,-172.43876214703846,-178.380205006516,-172.76897832220612,-179.57068859028632,142.59173548096487,143.8012799041429
16,1665.515,110,281.6236545982464,-1221.9849237561343,-7821.6863195136,35.214924360000005,-1.8206836200000005,2.4963019899999996,-170.80937097283945,-178.30046160424473,-172.26154666645775,-179.68696188935002,143.5098797516991,146.86364833351232
17,1776.0819999999999,110,390.9741927589478,-1920.3909542536808,-7711.996245014937,35.35484736000001,-2.0927561200000007,2.6206779899999995,-167.87796075872217,-177.68767344196573,-170.48680515825194,-179.21199108474573,144.9697090591522,151.30633381984833
18,1887.287,111,538.1845156553687,-2776.6345725522087,-7275.678648205378,31.29620536000001,-2.5342496200000006,3.3255184899999994,-164.24155759245104,-176.71337566454088,-168.26408110684366,-178.37108550798254,147.14733092122484,158.78158044230267
19,1997.82,110,651.3107093932213,-3604.7807435313252,-6913.007188923227,22.774995600000008,-2.2148989800000005,5.07026345,-160.58126132932642,-175.32826037249953,-165.98310462149357,-176.94896122053373,149.51159551687687,167.58210496502812
